subject,quarter,grade,standardID,standard,gradeObjID,objective,subobjective,indicator,resources
english,1,1,4,,1,,"Use most frequently occurring inflections (e.g., s means plural) and affixes (e.g., un means not) as a clue to the meaning of an unknown word.","Introduce, identify, spell, sound, name, and define, use in sentences and show pictures if available",Pictures
english,1,1,4,,1,,Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their opposites,Use sentence strips and foldables to demonstrate understanding of occurring verbs and their opposites,Short Stories
english,1,1,4,,1,,,,Flash Cards
english,1,1,4,,1,,,,Signs
english,1,1,4,,1,,,,Non-print
english,1,1,4,,1,,,,Charts
english,1,1,4,,1,,,,Picture Cards
english,1,1,4,,1,,,,Daily Classroom Routines
english,1,1,4,,1,,,,CD
english,1,1,4,,1,,,,Pictionary
english,1,1,4,,1,,,,High frequency word lists
english,1,1,5,"Students listen and speak for socio-cultural and instructional purposes in a variety of settings, adjusting their use of spoken language to communicate clearly and present knowledge and ideas that serve different purposes and involve a variety of audiences.",1,"Listen and participate in collaborative discussions (e.g., in small and larger groups) about grade 1 topics. ","Follow cultural rules for discussion as appropriate (e.g., the oldest person in the group has the option to speak first).",Recite and follow classroom rules and routines,Guest Speaker
english,1,1,5,,1,,"Follow agreed-upon rules for discussions (e.g., listening to others).",Orally sequence given instructions ,Classroom Rules
english,1,1,5,,1,,Ask and answer questions to get information or clarify something that is not understood.,Participate in a class discussion,Tablets
english,1,1,5,,1,,,Present a group presentation,Harcourt Trophies
english,1,1,5,,1,,,Ask open ended questions,
english,1,1,5,"Students listen and speak for socio-cultural and instructional purposes in a variety of settings, adjusting their use of spoken language to communicate clearly and present knowledge and ideas that serve different purposes and involve a variety of audiences.",2,Listen and respond to oral one-step instructions or directions for a given task.,,Demonstrate their understanding of the instructions by following them,Guest Speaker
english,1,1,5,,2,,,,Recordings
english,1,1,5,,2,,,,Manuals
english,1,1,5,,2,,,,Teacher Created Materials
english,1,1,6,"Students apply knowledge of language conventions (i.e., grammar, punctuation, and spelling) and sentence structure, when writing or speaking to create, discuss, and critique texts.",1,"With support, demonstrate basic understanding of parts of speech (grammar and usage) when writing and speaking.",Print many upper-and lowercase letters.,Write upper & lower case letters,Just Right Reading
english,1,1,6,,1,,"Recognize frequently occurring nouns – names of persons, places, and things – in singular and plural forms.",Sound letters,1st Grade Practice Book
english,1,1,6,,1,,,Recognize short sentences,Teacher Created Materials
english,1,1,6,,1,,,Identify end marks within sentences ,Big Alphabet Cards
english,1,1,6,,1,,,Identify and differentiate singular & plural nouns ,Tablets
english,1,1,6,,1,,,,Letter and chart sounds
english,1,1,6,,1,,,,Flash Cards
english,1,1,6,,1,,,,Big Book Collection
english,1,1,6,,1,,,,Picture Word Cards
english,1,1,7,"Students use writing (print and graphic) to communicate with a variety of audiences for different purposes, adapting the form and content of their writing in order to express opinions, demonstrate understanding of the information they are learning, and convey real and imagined experiences and events.",1,"Use a combination of drawing, dictating, and writing to compose non-fiction texts.",State what they are writing about.,"Draw pictures of their favorite book, places, thing, or person",Daily Classroom Routines
english,1,1,7,,1,,Supply some information about the topic.,"Write about their favorite book, place, things, or person",Just Right Reading
english,1,1,7,,1,,,Do a show and tell on particular topic,Tablet
english,1,1,7,,1,,,,Story Books
english,1,1,7,,1,,,,Big Books
english,1,1,8,"Students use a variety of primary (i.e., maps, artifacts, visual materials, music, sound recordings, oral history, interviews) and secondary resources (e.g., libraries, databases, computer networks, video) to build knowledge on a subject through research projects and to respond analytically to literary and informational sources.",1,Participate in shared research and writing projects.,"Explore a number of books by a favorite author and express opinions about them using sentence frames such as, My favorite book is - by - because -.",Draw a classroom map,Maps
english,1,1,8,,1,,,Present a class presentation,Tablets
english,1,1,8,,1,,,Draw picture of favorite author,Music
english,1,1,8,,1,,,Design and create a class collage,Library
english,1,1,8,,1,,,Complete sentence frames with pictures,
english,1,1,9,Students develop an understanding of and respect for diversity in language use and patterns (e.g. Palauan) as they make use of their first language to develop competency in English.,1,"Use knowledge of L1 nouns (singular, plural, common, proper, concrete, abstract) and verbs (action, helping) to understand English equivalents.",,Identify singular and plural nouns.,Picture flash cards
english,1,1,9,,1,,,Categorize common and proper nouns,Practice book
english,1,1,9,,1,,,Draw pictures of various nouns,High frequency word cards
english,1,1,10,"Students participate as knowledgeable, reflective, creative, and critical members of a variety of literacy communities.",1,Listen and respond to each other’s oral stories and give feedback.,,Draw a picture and tell about it through a presentation ,Students’ work
english,1,1,10,,1,,,"Draw pictures showing the sequence of a story (beginning, middle and end.)",Guest Speakers
english,1,1,10,,1,,,Orally retell story in their own words,CD on various topics
english,1,1,10,,1,,,Ask and answer questions to clarify the main point of a story,Library
